,name,album,artist,uri,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Rock or Bust,Rock or Bust,AC/DC,spotify:track:2vyae4DvSU2gs8OMOGwXF2,2014-11-28,183053,64,0.572,7.13e-05,0.825,0.000134,0.134,-3.977,0.04,98.057,4
1,Play Ball,Rock or Bust,AC/DC,spotify:track:3fpzBeEHvuXKOl7QeVe1iz,2014-11-28,167133,54,0.52,6.71e-06,0.872,0.246,0.207,-4.354,0.0383,120.006,4
2,Rock the Blues Away,Rock or Bust,AC/DC,spotify:track:5xGHeN58fFOcORW0pRZznn,2014-11-28,204373,53,0.537,0.000131,0.88,0.00531,0.135,-4.902,0.0353,120.976,4
3,Miss Adventure,Rock or Bust,AC/DC,spotify:track:4WpGOn71DcfB9zMvnN9mLl,2014-11-28,177253,48,0.51,1.09e-05,0.896,0.000771,0.0826,-3.585,0.0624,120.134,4
4,Dogs of War,Rock or Bust,AC/DC,spotify:track:2eSsmjwzDB9JTGvn2ZPLE9,2014-11-28,215440,50,0.502,4.71e-05,0.816,0.0217,0.302,-4.562,0.0329,99.372,4
5,Got Some Rock & Roll Thunder,Rock or Bust,AC/DC,spotify:track:5CqTorhnA1GUNh1Z8PnGiS,2014-11-28,202586,49,0.626,0.000157,0.833,0.000717,0.0608,-4.352,0.0285,107.572,4
6,Hard Times,Rock or Bust,AC/DC,spotify:track:5aoTIWdzgcjGo3SdjxqWSf,2014-11-28,164226,57,0.57,5.64e-05,0.758,0.0304,0.448,-4.362,0.036,93.095,4
7,Baptism By Fire,Rock or Bust,AC/DC,spotify:track:1ULNWGJD3skjg0jWjhCFHc,2014-11-28,210200,49,0.457,4.67e-06,0.93,0.197,0.174,-4.203,0.0588,150.188,4
8,Rock the House,Rock or Bust,AC/DC,spotify:track:57NrsUX4Ix819R67iiwcos,2014-11-28,162840,48,0.448,4.94e-05,0.94,3.13e-05,0.0975,-3.52,0.0516,91.212,4
9,Sweet Candy,Rock or Bust,AC/DC,spotify:track:7qnCJHj5rzdKzQKkQmrlad,2014-11-28,189720,47,0.449,6.25e-06,0.847,0.032,0.133,-4.31,0.0463,192.149,4
10,Emission Control,Rock or Bust,AC/DC,spotify:track:1v2dqCvCUf2TmxtbKXvLFN,2014-11-28,221360,47,0.409,0.000104,0.858,0.135,0.212,-4.644,0.0393,168.955,4
11,"Rock N Roll Train - Live at River Plate Stadium, Buenos Aires, Argentina - December 2009",Live at River Plate,AC/DC,spotify:track:2hzg8fX8NGSK4loyJbNLr1,2012-11-19,281280,52,0.461,0.000379,0.965,2.17e-05,0.931,-5.087,0.067,125.742,4
12,"Hell Ain't a Bad Place to Be - Live at River Plate Stadium, Buenos Aires, Argentina - December 2009",Live at River Plate,AC/DC,spotify:track:5x1wkgdotvZwgmgscxFWcz,2012-11-19,267600,52,0.361,0.000918,0.954,0.0,0.977,-4.608,0.0772,129.602,4
13,"Back In Black - Live at River Plate Stadium, Buenos Aires, Argentina - December 2009",Live at River Plate,AC/DC,spotify:track:7JLqofLzcpdjFHc6oRSBGf,2012-11-19,255053,52,0.324,0.000593,0.95,1.28e-06,0.987,-4.553,0.0774,92.703,4
