,name,album,artist,uri,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Still Rapping,Avida Dollars,C. Tangana,spotify:track:5wNCqj7omYnDl7gE4BzSNS,2018-04-20,89899,46,0.729,0.467,0.628,0.0,0.0998,-6.281,0.241,149.965,4
1,Baile de la Lluvia,Avida Dollars,C. Tangana,spotify:track:1gV7dIp1UP99KQr33r8hXg,2018-04-20,194183,47,0.788,0.0346,0.711,0.0,0.343,-4.833,0.0499,140.001,4
2,Cuando Me Miras,Avida Dollars,C. Tangana,spotify:track:5THnzdXOBNjVD4fipR3EAu,2018-04-20,143127,55,0.824,0.411,0.57,6.01e-05,0.154,-6.768,0.07,120.029,4
3,Na de Na,Avida Dollars,C. Tangana,spotify:track:0VSLBskAbpojh44ycMckgv,2018-04-20,140660,43,0.666,0.00965,0.751,6.47e-05,0.54,-4.496,0.0957,138.04,4
4,Huele a Nuevo - feat. Sticky M.A.,Avida Dollars,C. Tangana,spotify:track:0O0ZCpralGox0wfbZrP8iJ,2018-04-20,134147,42,0.735,0.0576,0.772,0.0,0.114,-4.537,0.0996,158.043,4
5,Sangre,Avida Dollars,C. Tangana,spotify:track:2OVIj8EyzLL8PbpYxhpYxH,2018-04-20,132205,40,0.721,0.0566,0.759,1.53e-06,0.128,-2.985,0.0722,169.936,4
6,Llorando en la Limo,Avida Dollars,C. Tangana,spotify:track:3YURfhPPT7GipmI7pIj0m3,2018-04-20,139354,60,0.792,0.0406,0.418,5e-06,0.245,-8.485,0.176,154.998,3
7,Cabernet Sauvignon,Avida Dollars,C. Tangana,spotify:track:7nIt9l4l2F9VhRNXu41vhy,2018-04-20,126500,40,0.542,0.63,0.66,0.0,0.0892,-7.962,0.318,112.831,5
8,Pussy Call,Avida Dollars,C. Tangana,spotify:track:76NscRvD1L5XOKetRvGLdK,2018-04-20,138903,41,0.822,0.0843,0.599,0.000274,0.109,-7.574,0.0813,146.0,4
9,Siempre Quise Todo - Bonus Track,Avida Dollars,C. Tangana,spotify:track:3E7D9eSKVaPk5GmDcSBP0L,2018-04-20,162161,42,0.857,0.509,0.487,6.05e-06,0.0878,-8.89,0.24,147.95,4
10,Tiempo,Ídolo,C. Tangana,spotify:track:4ZIJ6EM9Qvl4u4cwSRNH5l,2017-10-05,216906,45,0.631,0.145,0.643,0.0,0.0934,-6.232,0.0543,100.998,4
11,Inditex,Ídolo,C. Tangana,spotify:track:2oZYkDEyOhvEwuLHD3M7Sj,2017-10-05,203426,48,0.793,0.212,0.658,0.0,0.108,-5.489,0.0519,130.044,4
12,De Pie,Ídolo,C. Tangana,spotify:track:5ZISQTmGANOElHqxg4k8pz,2017-10-05,172826,45,0.818,0.0557,0.672,0.00308,0.0928,-5.208,0.1,100.019,4
13,No Te Pegas,Ídolo,C. Tangana,spotify:track:62rLQxw2pcSonpFZW6Nrm2,2017-10-05,201000,42,0.835,0.213,0.658,0.0,0.12,-6.123,0.0984,115.978,4
14,Intoxicao,Ídolo,C. Tangana,spotify:track:0HkLxd8oNOo5BFQsIvtkvO,2017-10-05,206693,52,0.737,0.462,0.582,0.000126,0.257,-7.967,0.0581,92.008,4
15,Espabilao,Ídolo,C. Tangana,spotify:track:4bEnLbew7PDzXZCI5NBSKk,2017-10-05,196573,39,0.731,0.259,0.696,0.00107,0.157,-5.735,0.0369,125.056,4
16,Demasiao Tarde,Ídolo,C. Tangana,spotify:track:22AftN7B33SppDvLhVFYu0,2017-10-05,205933,41,0.833,0.0975,0.51,0.000169,0.142,-11.152,0.106,105.016,4
17,Caballo Ganador,Ídolo,C. Tangana,spotify:track:21BUXdKbM4jby5Rm8CVPfR,2017-10-05,181840,47,0.736,0.313,0.804,2.83e-05,0.111,-4.865,0.128,171.942,4
18,Mala Mujer,Ídolo,C. Tangana,spotify:track:067QpM2xLhK24hTiovC3Zo,2017-10-05,222893,51,0.838,0.231,0.748,1.76e-05,0.0692,-4.551,0.129,101.001,4
19,Otro Hombre,Ídolo,C. Tangana,spotify:track:4045KQDBH6sYjI0CONQ8Pt,2017-10-05,192186,43,0.772,0.103,0.447,6.84e-05,0.109,-6.372,0.0579,98.033,4
20,Pa Que Brille,Ídolo,C. Tangana,spotify:track:3xNMMrXGcFIg06FfTVxod9,2017-10-05,199853,49,0.615,0.118,0.824,6.73e-06,0.131,-5.006,0.0408,152.073,4
21,Pop Ur Pussy,Ídolo,C. Tangana,spotify:track:1TnYnrv0lVfbxywXssT9zN,2017-10-05,218133,40,0.691,0.0922,0.611,0.000315,0.129,-5.504,0.141,189.933,4
22,Tú Me Dejaste De Querer (feat. Niño de Elche & La Hungara),Tú Me Dejaste De Querer (feat. Niño de Elche & La Hungara),C. Tangana,spotify:track:0XinBYhf1X3kdvKQHOX971,2020-11-05,198499,48,0.812,0.31,0.747,0.00412,0.1,-4.611,0.15,168.025,4
